time_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
9.0419,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
9.5460,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
9.5751,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
9.5782,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.0797,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.1098,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.1417,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.1707,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2018,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2314,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2622,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.2929,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.3224,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.3535,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.3832,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4149,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4470,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.4764,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.5072,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.5392,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.5685,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10.5929,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
